station,datetime,visibility,predicted_visibility_t+1
SPJC,2025-05-14 04:50:46.842856,8000.0,7466.293489877513
SPJR,2025-07-07 03:29:17.988653,24140.0,24191.912957309905
SPQU,2025-07-07 03:29:19.325186,24140.0,24215.719920793097
SPRU,2025-07-07 03:29:19.325186,5000.0,4626.137953893747
SPZO,2025-07-07 03:29:19.325186,9999.0,10188.712355428564
