station,metar,datetime_scraped
SPZO,SPZO 120530Z 09004KT 9999 SCT050 08/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-12 05:53:41.475658
SPQU,SPQU 120600Z 02003KT CAVOK 15/M01 Q1028 RMK PP000=,2025-05-12 06:23:42.368651
SPJC,SPJC 120600Z 18008KT 9999 FEW015 SCT025 18/15 Q1013 NOSIG RMK PP000=,2025-05-12 06:23:42.368651
SPRU,SPRU 120600Z 12004KT 5000 BR NSC 17/16 Q1013 RMK PP000=,2025-05-12 06:23:42.368651
SPZO,SPZO 120600Z VRB02KT 9999 SCT100 07/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 06:23:42.368651
SPQU,SPQU 120600Z 02003KT CAVOK 15/M01 Q1028 RMK PP000=,2025-05-12 06:53:43.267504
SPJC,SPJC 120600Z 18008KT 9999 FEW015 SCT025 18/15 Q1013 NOSIG RMK PP000=,2025-05-12 06:53:43.267504
SPRU,SPRU 120600Z 12004KT 5000 BR NSC 17/16 Q1013 RMK PP000=,2025-05-12 06:53:43.267504
SPZO,SPZO 120600Z VRB02KT 9999 SCT100 07/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 06:53:43.267504
SPQU,SPQU 120700Z VRB02KT CAVOK 14/M01 Q1028 RMK PP000=,2025-05-12 07:23:44.180310
SPJC,SPJC 120700Z 18008KT 8000 SCT006 BKN015 17/15 Q1013 TEMPO OVC009 RMK PP000=,2025-05-12 07:23:44.180310
SPRU,SPRU 120700Z 12004KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 07:23:44.180310
SPZO,SPZO 120700Z 09002KT 9999 SCT100 08/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 07:23:44.180310
SPQU,SPQU 120700Z VRB02KT CAVOK 14/M01 Q1028 RMK PP000=,2025-05-12 07:53:45.058924
SPJC,SPJC 120700Z 18008KT 8000 SCT006 BKN015 17/15 Q1013 TEMPO OVC009 RMK PP000=,2025-05-12 07:53:45.058924
SPRU,SPRU 120700Z 12004KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 07:53:45.058924
SPZO,SPZO 120700Z 09002KT 9999 SCT100 08/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 07:53:45.058924
SPQU,SPQU 120800Z 02004KT CAVOK 14/M01 Q1027 RMK PP000=,2025-05-12 08:23:46.029210
SPJC,SPJC 120800Z 16006KT 8000 SCT006 BKN013 18/15 Q1012 NOSIG RMK PP000=,2025-05-12 08:23:46.029210
SPRU,SPRU 120800Z 12005KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 08:23:46.029210
SPZO,SPZO 120800Z 11002KT 9999 SCT050 BKN100 08/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 08:23:46.029210
SPQU,SPQU 120800Z 02004KT CAVOK 14/M01 Q1027 RMK PP000=,2025-05-12 08:53:46.920522
SPJC,SPJC 120800Z 16006KT 8000 SCT006 BKN013 18/15 Q1012 NOSIG RMK PP000=,2025-05-12 08:53:46.920522
SPRU,SPRU 120800Z 12005KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 08:53:46.920522
SPZO,SPZO 120800Z 11002KT 9999 SCT050 BKN100 08/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 08:53:46.920522
SPQU,SPQU 120900Z 36006KT CAVOK 15/M01 Q1027 RMK PP000=,2025-05-12 09:23:41.990107
SPJC,SPJC 120900Z 20005KT 8000 OVC010 18/15 Q1012 NOSIG RMK PP000=,2025-05-12 09:23:41.990107
SPRU,SPRU 120900Z 14007KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 09:23:41.990107
SPZO,SPZO 120900Z 09002KT 9999 SCT050 BKN100 08/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 09:23:41.990107
SPQU,SPQU 120900Z 36006KT CAVOK 15/M01 Q1027 RMK PP000=,2025-05-12 09:53:42.898635
SPJC,SPJC 120900Z 20005KT 8000 OVC010 18/15 Q1012 NOSIG RMK PP000=,2025-05-12 09:53:42.898635
SPRU,SPRU 120900Z 14007KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 09:53:42.898635
SPZO,SPZO 120900Z 09002KT 9999 SCT050 BKN100 08/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 09:53:42.898635
SPQU,SPQU 121000Z 03005KT CAVOK 14/M01 Q1027 RMK PP000=,2025-05-12 10:23:43.787482
SPJC,SPJC 121000Z 20004KT 9999 BKN010 18/15 Q1012 NOSIG RMK PP000=,2025-05-12 10:23:43.787482
SPRU,SPRU 121000Z 14010KT 6000 NSC 17/16 Q1012 RMK PP000=,2025-05-12 10:23:43.787482
SPZO,SPZO 121000Z 07004KT 9999 SCT050 BKN100 07/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 10:23:43.787482
SPQU,SPQU 121000Z 03005KT CAVOK 14/M01 Q1027 RMK PP000=,2025-05-12 10:53:44.713633
SPJC,SPJC 121000Z 20004KT 9999 BKN010 18/15 Q1012 NOSIG RMK PP000=,2025-05-12 10:53:44.713633
SPRU,SPRU 121000Z 14010KT 6000 NSC 17/16 Q1012 RMK PP000=,2025-05-12 10:53:44.713633
SPZO,SPZO 121000Z 07004KT 9999 SCT050 BKN100 07/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 10:53:44.713633
SPZO,SPZO 121030Z 08002KT 9999 SCT050 BKN100 07/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-12 10:53:44.713633
SPQU,SPQU 121100Z 06010KT 9999 FEW110 13/M00 Q1028 RMK PP000=,2025-05-12 11:23:45.631581
SPJC,SPJC 121100Z 24004KT 9999 OVC012 17/15 Q1013 TEMPO BKN007 RMK PP000=,2025-05-12 11:23:45.631581
SPRU,SPRU 121100Z 12006KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 11:23:45.631581
SPZO,SPZO 121100Z VRB02KT 9999 SCT050 BKN100 08/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 11:23:45.631581
SPQU,SPQU 121100Z 06010KT 9999 FEW110 13/M00 Q1028 RMK PP000=,2025-05-12 11:53:46.524808
SPJC,SPJC 121100Z 24004KT 9999 OVC012 17/15 Q1013 TEMPO BKN007 RMK PP000=,2025-05-12 11:53:46.524808
SPRU,SPRU 121100Z 12006KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 11:53:46.524808
SPZO,SPZO 121100Z VRB02KT 9999 SCT050 BKN100 08/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 11:53:46.524808
SPZO,SPZO 121130Z 09002KT 9999 SCT050 BKN100 07/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-12 11:53:46.524808
SPQU,SPQU 140300Z 02003KT 330V080 CAVOK 15/01 Q1027 NOSIG RMK PP000=,2025-05-14 03:20:44.126211
SPJC,SPJC 140300Z 17009KT 8000 BKN008 18/15 Q1012 NOSIG RMK PP000=,2025-05-14 03:20:44.126211
SPRU,SPRU 140300Z 15004KT 3000 BR NSC 18/16 Q1012 RMK PP000=,2025-05-14 03:20:44.126211
SPZO,SPZO 140300Z 00000KT 9999 NSC 08/M01 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 03:20:44.126211
SPQU,SPQU 140300Z 02003KT 330V080 CAVOK 15/01 Q1027 NOSIG RMK PP000=,2025-05-14 03:50:45.015404
SPJC,SPJC 140300Z 17009KT 8000 BKN008 18/15 Q1012 NOSIG RMK PP000=,2025-05-14 03:50:45.015404
SPRU,SPRU 140300Z 15004KT 3000 BR NSC 18/16 Q1012 RMK PP000=,2025-05-14 03:50:45.015404
SPZO,SPZO 140300Z 00000KT 9999 NSC 08/M01 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 03:50:45.015404
SPZO,SPZO 140330Z VRB02KT 9999 FEW080 09/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 03:50:45.015404
SPQU,SPQU 140400Z VRB02KT CAVOK 14/00 Q1026 RMK PP000=,2025-05-14 04:20:45.895632
SPJC,SPJC 140400Z 16011KT 8000 OVC008 17/15 Q1012 NOSIG RMK PP000=,2025-05-14 04:20:45.895632
SPRU,SPRU 140400Z 15004KT 5000 BR NSC 18/16 Q1013 RMK PP000=,2025-05-14 04:20:45.895632
SPZO,SPZO 140400Z VRB01KT 9999 FEW080 08/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 04:20:45.895632
SPQU,SPQU 140400Z VRB02KT CAVOK 14/00 Q1026 RMK PP000=,2025-05-14 04:50:46.842856
SPJC,SPJC 140400Z 16011KT 8000 OVC008 17/15 Q1012 NOSIG RMK PP000=,2025-05-14 04:50:46.842856
SPRU,SPRU 140400Z 15004KT 5000 BR NSC 18/16 Q1013 RMK PP000=,2025-05-14 04:50:46.842856
SPZO,SPZO 140400Z VRB01KT 9999 FEW080 08/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 04:50:46.842856
SPZO,SPZO 140430Z 09002KT 9999 FEW080 08/M01 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 04:50:46.842856
SPQU,SPQU 140500Z 04004KT CAVOK 14/M01 Q1026 RMK PP000=,2025-05-14 05:56:59.181051
SPRU,SPRU 140500Z 14003KT 110V170 5000 BR NSC 18/16 Q1013 RMK PP000=,2025-05-14 05:56:59.181051
SPZO,SPZO 140500Z 07003KT 9999 FEW080 07/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 05:56:59.181051
SPZO,SPZO 140530Z 06002KT 9999 FEW080 07/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 05:56:59.181051
SPQU,SPQU 140500Z 04004KT CAVOK 14/M01 Q1026 RMK PP000=,2025-05-14 05:58:09.898862
SPRU,SPRU 140500Z 14003KT 110V170 5000 BR NSC 18/16 Q1013 RMK PP000=,2025-05-14 05:58:09.898862
SPZO,SPZO 140500Z 07003KT 9999 FEW080 07/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 05:58:09.898862
SPZO,SPZO 140530Z 06002KT 9999 FEW080 07/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 05:58:09.898862
SPQU,SPQU 140600Z 01004KT CAVOK 15/M00 Q1025 RMK PP000=,2025-05-14 06:28:10.796249
SPRU,SPRU 140600Z 12006KT 4000 BR NSC 18/16 Q1014 RMK PP000=,2025-05-14 06:28:10.796249
SPZO,SPZO 140600Z 09001KT 9999 NSC 06/M00 Q1033 NOSIG RMK PP000=,2025-05-14 06:28:10.796249
SPQU,SPQU 140600Z 01004KT CAVOK 15/M00 Q1025 RMK PP000=,2025-05-14 06:34:13.350574
