station,metar,datetime_scraped
SPQU,SPQU 150200Z 09005KT CAVOK 12/05 Q1027 NOSIG RMK PP000=,2025-05-15 03:01:14.137762
SPQU,SPQU 150300Z 01003KT CAVOK 13/01 Q1027 NOSIG RMK PP000=,2025-05-15 03:01:14.137762
SPRU,SPRU 150200Z 16007KT 4100 BR NSC 18/16 Q1012 RMK PP000=,2025-05-15 03:01:14.137762
SPRU,SPRU 150300Z 15005KT 120V180 3800 BR NSC 18/17 Q1013 RMK PP000=,2025-05-15 03:01:14.137762
SPZO,SPZO 150200Z VRB01KT 9999 NSC 09/04 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 03:01:14.137762
SPZO,SPZO 150230Z 29005KT 9999 NSC 09/04 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-15 03:01:14.137762
SPZO,SPZO 150300Z 25003KT 9999 NSC 10/04 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 03:01:14.137762
SPQU,SPQU 150300Z 01003KT CAVOK 13/01 Q1027 NOSIG RMK PP000=,2025-05-15 04:01:24.125606
SPQU,SPQU 150400Z 36003KT 320V030 CAVOK 12/00 Q1027 RMK PP000=,2025-05-15 04:01:24.125606
SPRU,SPRU 150300Z 15005KT 120V180 3800 BR NSC 18/17 Q1013 RMK PP000=,2025-05-15 04:01:24.125606
SPRU,SPRU 150400Z 14006KT 4000 BR NSC 18/16 Q1013 RMK PP000=,2025-05-15 04:01:24.125606
SPZO,SPZO 150300Z 25003KT 9999 NSC 10/04 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 04:01:24.125606
SPZO,SPZO 150330Z 28002KT 9999 NSC 07/03 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-15 04:01:24.125606
SPZO,SPZO 150400Z VRB02KT 9999 NSC 08/03 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 04:01:24.125606
SPQU,SPQU 150400Z 36003KT 320V030 CAVOK 12/00 Q1027 RMK PP000=,2025-05-15 05:01:34.158624
SPQU,SPQU 150500Z VRB02KT CAVOK 12/01 Q1027 RMK PP000=,2025-05-15 05:01:34.158624
SPRU,SPRU 150400Z 14006KT 4000 BR NSC 18/16 Q1013 RMK PP000=,2025-05-15 05:01:34.158624
SPRU,SPRU 150500Z 15007KT 4100 BR NSC 18/16 Q1014 RMK PP000=,2025-05-15 05:01:34.158624
SPZO,SPZO 150400Z VRB02KT 9999 NSC 08/03 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 05:01:34.158624
SPZO,SPZO 150430Z 28002KT 9999 NSC 06/03 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-15 05:01:34.158624
SPZO,SPZO 150500Z 09003KT 9999 NSC 07/04 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 05:01:34.158624
SPQU,SPQU 150500Z VRB02KT CAVOK 12/01 Q1027 RMK PP000=,2025-05-15 06:01:43.211709
SPQU,SPQU 150600Z VRB02KT CAVOK 12/M00 Q1026 RMK PP000=,2025-05-15 06:01:43.211709
SPRU,SPRU 150500Z 15007KT 4100 BR NSC 18/16 Q1014 RMK PP000=,2025-05-15 06:01:43.211709
SPRU,SPRU 150600Z 15006KT 3500 BR NSC 18/16 Q1013 RMK PP000=,2025-05-15 06:01:43.211709
SPZO,SPZO 150500Z 09003KT 9999 NSC 07/04 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 06:01:43.211709
SPZO,SPZO 150530Z 00000KT 9999 NSC 06/03 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-15 06:01:43.211709
SPZO,SPZO 150600Z VRB02KT 9999 NSC 06/03 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 06:01:43.211709
SPQU,SPQU 150600Z VRB02KT CAVOK 12/M00 Q1026 RMK PP000=,2025-05-15 07:01:52.374764
SPQU,SPQU 150700Z 29002KT CAVOK 12/02 Q1026 RMK PP000=,2025-05-15 07:01:52.374764
SPRU,SPRU 150600Z 15006KT 3500 BR NSC 18/16 Q1013 RMK PP000=,2025-05-15 07:01:52.374764
SPRU,SPRU 150700Z 14005KT 3500 BR NSC 18/16 Q1013 RMK PP000=,2025-05-15 07:01:52.374764
SPZO,SPZO 150600Z VRB02KT 9999 NSC 06/03 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 07:01:52.374764
SPZO,SPZO 150700Z 28002KT 9999 NSC 05/03 Q1033 NOSIG RMK PP000=,2025-05-15 07:01:52.374764
SPQU,SPQU 150700Z 29002KT CAVOK 12/02 Q1026 RMK PP000=,2025-05-15 08:02:03.297545
SPQU,SPQU 150800Z 34004KT CAVOK 10/01 Q1026 RMK PP000=,2025-05-15 08:02:03.297545
SPRU,SPRU 150700Z 14005KT 3500 BR NSC 18/16 Q1013 RMK PP000=,2025-05-15 08:02:03.297545
SPRU,SPRU 150800Z 14005KT 3100 BR NSC 18/16 Q1012 RMK PP000=,2025-05-15 08:02:03.297545
SPZO,SPZO 150700Z 28002KT 9999 NSC 05/03 Q1033 NOSIG RMK PP000=,2025-05-15 08:02:03.297545
SPZO,SPZO 150800Z 10001KT 9999 NSC 05/03 Q1032 NOSIG RMK PP000=,2025-05-15 08:02:03.297545
SPQU,SPQU 150800Z 34004KT CAVOK 10/01 Q1026 RMK PP000=,2025-05-15 09:02:20.323253
SPQU,SPQU 150900Z 04003KT 350V090 CAVOK 09/M00 Q1026 RMK PP000=,2025-05-15 09:02:20.323253
SPRU,SPRU 150800Z 14005KT 3100 BR NSC 18/16 Q1012 RMK PP000=,2025-05-15 09:02:20.323253
SPRU,SPRU 150900Z 17003KT 1700 BR NSC 17/16 Q1012 RMK PP000=,2025-05-15 09:02:20.323253
SPZO,SPZO 150800Z 10001KT 9999 NSC 05/03 Q1032 NOSIG RMK PP000=,2025-05-15 09:02:20.323253
SPZO,SPZO 150900Z 00000KT 9999 NSC 04/03 Q1033 NOSIG RMK PP000=,2025-05-15 09:02:20.323253
SPQU,SPQU 150900Z 04003KT 350V090 CAVOK 09/M00 Q1026 RMK PP000=,2025-05-15 10:02:29.471839
SPQU,SPQU 151000Z 36004KT CAVOK 10/00 Q1025 RMK PP000=,2025-05-15 10:02:29.471839
SPRU,SPRU 150900Z 17003KT 1700 BR NSC 17/16 Q1012 RMK PP000=,2025-05-15 10:02:29.471839
SPRU,SPRU 151000Z 16004KT 1800 BR NSC 17/16 Q1012 RMK PP000=,2025-05-15 10:02:29.471839
SPZO,SPZO 150900Z 00000KT 9999 NSC 04/03 Q1033 NOSIG RMK PP000=,2025-05-15 10:02:29.471839
SPZO,SPZO 151000Z 00000KT 9999 NSC 04/02 Q1033 NOSIG RMK PP000=,2025-05-15 10:02:29.471839
SPQU,SPQU 151100Z 35006KT CAVOK 11/M01 Q1025 RMK PP000=,2025-05-15 11:02:41.027500
SPRU,SPRU 151100Z 12002KT 1600 BR SCT002 17/16 Q1012 RMK PP000=,2025-05-15 11:02:41.027500
SPZO,SPZO 151100Z 07003KT 9999 NSC 03/01 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 11:02:41.027500
SPQU,SPQU 151200Z 01003KT 320V110 CAVOK 13/M01 Q1026 NOSIG RMK TN7.7 PP000=,2025-05-15 12:02:50.479908
SPRU,SPRU 151200Z 16004KT 3000 BR NSC 17/16 Q1012 RMK TN17.2 PP000=,2025-05-15 12:02:50.479908
SPZO,SPZO 151200Z VRB01KT 9999 FEW040 BKN080 05/03 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28 TN2.5 PP000=,2025-05-15 12:02:50.479908
SPQU,SPQU 151300Z 30003KT 260V330 CAVOK 17/00 Q1026 NOSIG RMK PP000=,2025-05-15 13:02:59.440740
SPRU,SPRU 151300Z 12004KT 100V160 3000 BR NSC 18/17 Q1013 RMK PP000=,2025-05-15 13:02:59.440740
SPZO,SPZO 151300Z VRB01KT 9999 FEW030 BKN040 OVC070 08/04 Q1035 BECMG FEW040 SCT080 RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 13:02:59.440740
SPQU,SPQU 151400Z 23005KT 200V270 CAVOK 18/01 Q1027 NOSIG RMK PP000=,2025-05-15 14:03:09.706878
SPRU,SPRU 151400Z 16004KT 110V190 3000 BR NSC 19/17 Q1013 RMK PP000=,2025-05-15 14:03:09.706878
SPZO,SPZO 151400Z VRB02KT 9999 FEW030 BKN040 OVC070 10/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 14:03:09.706878
SPQU,SPQU 151500Z 27007KT 230V290 CAVOK 19/M01 Q1027 NOSIG RMK PP000=,2025-05-15 15:03:18.685390
SPRU,SPRU 151500Z 19007KT 7000 NSC 19/17 Q1013 RMK PP000=,2025-05-15 15:03:18.685390
SPZO,SPZO 151500Z VRB03KT 9999 SCT040 BKN080 14/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 15:03:18.685390
SPQU,SPQU 151600Z 25008KT 210V300 CAVOK 19/01 Q1026 NOSIG RMK PP000=,2025-05-15 16:03:27.610968
SPRU,SPRU 151600Z 19007KT 9000 NSC 20/17 Q1013 RMK BCFG N PP000=,2025-05-15 16:03:27.610968
SPZO,SPZO 151600Z VRB04KT 9999 FEW043 16/04 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 16:03:27.610968
SPQU,SPQU 151700Z 26009KT 220V300 CAVOK 18/03 Q1026 NOSIG RMK PP000=,2025-05-15 17:03:37.411342
SPRU,SPRU 151700Z 19008KT 9000 NSC 20/17 Q1013 RMK HORIZONTE BRUMOSO PP000=,2025-05-15 17:03:37.411342
SPZO,SPZO 151700Z 03005KT 330V080 9999 NSC 17/03 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 17:03:37.411342
SPQU,SPQU 151800Z 24007KT 210V280 CAVOK 18/04 Q1025 NOSIG RMK PP000=,2025-05-15 18:03:48.008061
SPRU,SPRU 151800Z 19009KT 9999 FEW015 20/17 Q1012 RMK PP000=,2025-05-15 18:03:48.008061
SPZO,SPZO 151800Z VRB03KT 9999 NSC 20/M01 Q1030 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 18:03:48.008061
SPQU,SPQU 151900Z 27009KT 220V300 CAVOK 18/04 Q1025 NOSIG RMK PP000=,2025-05-15 19:03:56.943371
SPRU,SPRU 151900Z 17007KT 130V200 9999 FEW015 21/17 Q1011 RMK PP000=,2025-05-15 19:03:56.943371
SPZO,SPZO 151900Z VRB06KT 9999 NSC 21/M02 Q1029 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 19:03:56.943371
SPQU,SPQU 152000Z 24007KT 170V330 CAVOK 18/05 Q1025 NOSIG RMK PP000=,2025-05-15 20:04:06.134466
SPRU,SPRU 152000Z 17008KT 9000 NSC 20/17 Q1011 RMK PP000=,2025-05-15 20:04:06.134466
SPZO,SPZO 152000Z 36006KT 310V040 9999 NSC 21/M10 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 20:04:06.134466
SPQU,SPQU 152100Z 26008KT 220V290 CAVOK 16/05 Q1025 NOSIG RMK PP000=,2025-05-15 21:04:15.301557
SPRU,SPRU 152100Z 17008KT CAVOK 20/17 Q1010 RMK PP000=,2025-05-15 21:04:15.301557
SPZO,SPZO 152100Z VRB08KT 9999 NSC 20/M11 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 21:04:15.301557
SPQU,SPQU 152200Z 26008KT 220V290 CAVOK 15/06 Q1025 NOSIG RMK TX20.1 PP000=,2025-05-15 22:04:24.454434
SPRU,SPRU 152200Z 15009KT 9000 NSC 20/17 Q1010 RMK TX20.1 PP000=,2025-05-15 22:04:24.454434
SPZO,SPZO 152200Z 04007KT 360V080 9999 NSC 19/M08 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 TX21.4 PP000=,2025-05-15 22:04:24.454434
SPQU,SPQU 152300Z 27004KT CAVOK 13/07 Q1026 NOSIG RMK PP000=,2025-05-15 23:04:33.386968
SPRU,SPRU 152300Z 16009KT 9999 SCT150 20/17 Q1010 RMK PP000=,2025-05-15 23:04:33.386968
SPZO,SPZO 152300Z 27008KT 240V300 9999 NSC 15/M05 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 23:04:33.386968
SPQU,SPQU 160000Z VRB02KT CAVOK 12/08 Q1026 RMK PP000=,2025-05-16 00:04:42.662473
SPRU,SPRU 160000Z 15006KT 9000 SCT150 19/17 Q1012 RMK PP000=,2025-05-16 00:04:42.662473
SPZO,SPZO 160000Z 24003KT 190V310 9999 NSC 14/M05 Q1030 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 00:04:42.662473
SPQU,SPQU 160100Z VRB02KT CAVOK 12/07 Q1027 RMK PP000=,2025-05-16 01:04:51.774236
SPRU,SPRU 160100Z 14007KT 6000 BKN100 19/17 Q1012 RMK PP000=,2025-05-16 01:04:51.774236
SPZO,SPZO 160100Z VRB02KT 9999 NSC 10/M03 Q1031 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 01:04:51.774236
SPQU,SPQU 160200Z VRB02KT CAVOK 11/06 Q1027 RMK PP000=,2025-05-16 02:05:01.175856
SPRU,SPRU 160200Z 13008KT 5000 BR BKN100 19/17 Q1013 RMK PP000=,2025-05-16 02:05:01.175856
SPZO,SPZO 160200Z 08002KT 9999 NSC 08/M02 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 02:05:01.175856
SPQU,SPQU 160300Z 04005KT CAVOK 11/05 Q1028 RMK PP000=,2025-05-16 03:05:10.314886
SPRU,SPRU 160300Z 13009KT 5000 BR BKN150 19/17 Q1014 RMK PP000=,2025-05-16 03:05:10.314886
SPZO,SPZO 160300Z 27003KT 9999 NSC 07/02 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 03:05:10.314886
SPQU,SPQU 160400Z 02003KT CAVOK 11/06 Q1027 RMK PP000=,2025-05-16 04:05:19.542425
SPRU,SPRU 160400Z 13008KT 5000 BR BKN120 19/17 Q1014 RMK PP000=,2025-05-16 04:05:19.542425
SPZO,SPZO 160400Z VRB01KT 9999 NSC 07/02 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 04:05:19.542425
SPQU,SPQU 161400Z 18003KT 140V240 CAVOK 16/03 Q1028 NOSIG RMK PP000=,2025-05-16 14:38:44.961254
SPRU,SPRU 161400Z 17008KT 8000 NSC 19/17 Q1015 RMK PP000=,2025-05-16 14:38:44.961254
SPZO,SPZO 161400Z VRB03KT 9999 FEW040 12/03 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 14:38:44.961254
SPZO,SPZO 161430Z VRB03KT 9999 NSC 13/04 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-16 14:38:44.961254
SPQU,SPQU 161500Z 25004KT 190V330 CAVOK 16/04 Q1028 NOSIG RMK PP000=,2025-05-16 15:38:54.170438
SPRU,SPRU 161500Z 16009KT 7000 NSC 19/17 Q1014 RMK PP000=,2025-05-16 15:38:54.170438
SPZO,SPZO 161500Z VRB03KT 9999 NSC 15/04 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 15:38:54.170438
SPZO,SPZO 161530Z 01003KT 290V090 9999 NSC 16/03 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-16 15:38:54.170438
SPQU,SPQU 161600Z 24007KT 200V290 CAVOK 17/01 Q1029 NOSIG RMK PP000=,2025-05-16 16:39:03.429944
SPRU,SPRU 161600Z 18009KT 7000 NSC 20/17 Q1014 RMK PP000=,2025-05-16 16:39:03.429944
SPZO,SPZO 161600Z VRB03KT 9999 NSC 17/02 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 16:39:03.429944
SPZO,SPZO 161630Z VRB04KT 9999 NSC 18/M00 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-16 16:39:03.429944
SPQU,SPQU 161700Z 25008KT 200V290 CAVOK 17/04 Q1029 NOSIG RMK PP000=,2025-05-16 17:39:12.458285
SPRU,SPRU 161700Z 16010KT 7000 SCT003 20/17 Q1014 RMK HZ PP000=,2025-05-16 17:39:12.458285
SPZO,SPZO 161700Z 32004KT 240V040 9999 NSC 19/M03 Q1031 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 17:39:12.458285
SPZO,SPZO 161730Z VRB05KT 9999 NSC 19/00 Q1031 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-16 17:39:12.458285
SPQU,SPQU 161800Z 25008KT 190V300 CAVOK 18/03 Q1028 NOSIG RMK PP000=,2025-05-16 18:17:02.381113
SPRU,SPRU 161800Z 17010KT 7000 SCT003 20/17 Q1014 RMK PP000=,2025-05-16 18:17:02.381113
SPZO,SPZO 161800Z VRB06KT 9999 NSC 20/M01 Q1030 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 18:17:02.381113
SPQU,SPQU 161900Z 24007KT 190V290 CAVOK 18/03 Q1028 NOSIG RMK PP000=,2025-05-16 19:17:12.015654
SPRU,SPRU 161900Z 17009KT 4500 BR BKN004 19/17 Q1013 RMK PP000=,2025-05-16 19:17:12.015654
SPZO,SPZO 161900Z 29006KT 250V320 9999 FEW060 21/02 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 19:17:12.015654
SPQU,SPQU 161900Z 24007KT 190V290 CAVOK 18/03 Q1028 NOSIG RMK PP000=,2025-05-16 19:43:01.303609
SPRU,SPRU 161900Z 17009KT 4500 BR BKN004 19/17 Q1013 RMK PP000=,2025-05-16 19:43:01.303609
SPZO,SPZO 161900Z 29006KT 250V320 9999 FEW060 21/02 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 19:43:01.303609
SPZO,SPZO 161930Z VRB04KT 9999 FEW060 20/02 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-16 19:43:01.303609
SPQU,SPQU 161900Z 24007KT 190V290 CAVOK 18/03 Q1028 NOSIG RMK PP000=,2025-05-16 19:44:55.313065
SPRU,SPRU 161900Z 17009KT 4500 BR BKN004 19/17 Q1013 RMK PP000=,2025-05-16 19:44:55.313065
SPZO,SPZO 161900Z 29006KT 250V320 9999 FEW060 21/02 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 19:44:55.313065
SPZO,SPZO 161930Z VRB04KT 9999 FEW060 20/02 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-16 19:44:55.313065
SPQU,SPQU 161900Z 24007KT 190V290 CAVOK 18/03 Q1028 NOSIG RMK PP000=,2025-05-16 19:47:05.392543
SPRU,SPRU 161900Z 17009KT 4500 BR BKN004 19/17 Q1013 RMK PP000=,2025-05-16 19:47:05.392543
SPZO,SPZO 161900Z 29006KT 250V320 9999 FEW060 21/02 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 19:47:05.392543
SPZO,SPZO 161930Z VRB04KT 9999 FEW060 20/02 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-16 19:47:05.392543
SPQU,SPQU 162000Z 25008KT 210V290 CAVOK 18/03 Q1027 NOSIG RMK PP000=,2025-05-16 20:47:14.532108
SPRU,SPRU 162000Z 17008KT 6000 SCT015 19/17 Q1012 RMK HZ PP000=,2025-05-16 20:47:14.532108
SPRU,SPRU 162018Z 18008KT 4500 BR BKN010 19/17 Q1012=,2025-05-16 20:47:14.532108
SPZO,SPZO 162000Z VRB04KT 9999 FEW060 21/02 Q1027 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 20:47:14.532108
SPZO,SPZO 162030Z 28010KT 240V330 9999 FEW060 21/03 Q1027 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-16 20:47:14.532108
SPQU,SPQU 162100Z 27009KT 220V300 CAVOK 17/05 Q1027 NOSIG RMK PP000=,2025-05-16 21:08:07.742639
SPRU,SPRU 162100Z 17008KT 5000 BR BKN010 19/17 Q1012 RMK PP000=,2025-05-16 21:08:07.742639
SPZO,SPZO 162100Z 30009KT 260V350 9999 NSC 21/03 Q1027 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 21:08:07.742639

SPQU,050300Z 12008KT 0200 R27/0600N FG OVC002 14/13 Q1011
SPQU,040400Z 16012KT 0300 R09/0700U +RA BKN003 15/14 Q1009
SPQU,030500Z 09010KT 0500 BR SCT002 OVC003 13/12 Q1013
SPQU,060600Z 18015KT 0400 RA VV002 12/11 Q1010
SPQU,070700Z 20007KT 0250 FG NSC 14/13 Q1008
SPQU,160100Z 15010KT 3000 BR SCT006 BKN009 13/11 Q1015 

SPRU, 050300Z 11009KT 0300 BR SCT003 OVC005 18/17 Q1012
SPRU,040400Z 14012KT 0400 +RA BKN004 17/16 Q1011
SPRU,030500Z 09010KT 0500 RA VV003 16/15 Q1010
SPRU,060600Z 16008KT 0200 FG NSC 17/16 Q1013
SPRU,070700Z 10007KT 0250 BR OVC002 18/17 Q1010
SPRU,160100Z 13009KT 3000 SCT005 BKN010 18/17 Q1016

SPZO,050300Z 09010KT 0200 +SN VV001 04/03 Q1015
SPZO,040400Z 12012KT 0300 RA BKN002 05/03 Q1016
SPZO,030500Z 07008KT 0400 BR SCT002 BKN003 06/04 Q1014
SPZO,060600Z 10010KT 0500 SN VV002 04/03 Q1012
SPZO,070700Z 08009KT 0300 FG OVC001 05/03 Q1010
SPZO,160100Z 10007KT 3500 BKN008 SCT015 06/04 Q1015

SPJR,050300Z 15008KT 0200 FG VV002 10/09 Q1020
SPJR,040400Z 13010KT 0300 RA SCT003 OVC004 11/09 Q1018
SPJR,030500Z 10009KT 0500 +RA BKN003 11/10 Q1017
SPJR,060600Z 17007KT 0400 BR OVC002 12/10 Q1019
SPJR,070700Z 18006KT 0200 FG NSC 11/09 Q1021
SPJR,160100Z 15007KT 3000 SCT010 BKN012 12/10 Q1023

SPHZ,050300Z 14006KT 0300 FG OVC002 08/07 Q1025
SPHZ,040400Z 12008KT 0400 BR VV003 09/08 Q1024
SPHZ,030500Z 10010KT 0500 RA BKN002 08/07 Q1023
SPHZ,060600Z 16007KT 0200 FG NSC 09/07 Q1022
SPHZ,070700Z 11006KT 0300 +RA VV001 09/08 Q1020
SPHZ,160100Z 13008KT 3500 SCT012 BKN015 10/08 Q1026SPQU,SPQU 162100Z 27009KT 220V300 CAVOK 17/05 Q1027 NOSIG RMK PP000=
SPRU,SPRU 162100Z 17008KT 5000 BR BKN010 19/17 Q1012 RMK PP000=,2025-05-16 21:15:51.340709
SPZO,SPZO 162100Z 30009KT 260V350 9999 NSC 21/03 Q1027 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 21:15:51.340709
SPQU,SPQU 162200Z 27011KT 230V290 CAVOK 15/06 Q1028 NOSIG RMK TX18.9 PP000=,2025-05-16 22:16:00.421335
SPRU,SPRU 162200Z 15008KT 4000 BR OVC003 19/17 Q1013 RMK TX20.1 PP000=,2025-05-16 22:16:00.421335
SPZO,SPZO 162200Z 31009KT 280V340 9999 NSC 20/01 Q1027 NOSIG RMK BIRD HAZARD RWY 10/28 TX21.8 PP000=,2025-05-16 22:16:00.421335
SPQU,SPQU 162300Z 27007KT CAVOK 14/06 Q1028 NOSIG RMK PP000=,2025-05-16 23:16:09.580028
SPRU,SPRU 162300Z 15011KT 4000 BR OVC003 18/17 Q1013 RMK PP000=,2025-05-16 23:16:09.580028
SPZO,SPZO 162300Z 30006KT 260V350 9999 NSC 16/01 Q1027 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-16 23:16:09.580028
SPQU,SPQU 170000Z 29006KT CAVOK 13/06 Q1030 RMK PP000=,2025-05-17 00:16:19.627766
SPRU,SPRU 170000Z 14010KT 3000 BR OVC002 18/17 Q1014 RMK PP000=,2025-05-17 00:16:19.627766
SPZO,SPZO 170000Z 27006KT 9999 NSC 15/03 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-17 00:16:19.627766
SPQU,SPQU 170100Z 06007KT CAVOK 12/05 Q1030 RMK PP000=,2025-05-17 01:16:28.936003
SPRU,SPRU 170100Z 14010KT 3000 BR OVC002 18/17 Q1015 RMK PP000=,2025-05-17 01:16:28.936003
SPZO,SPZO 170100Z VRB02KT 9999 NSC 12/02 Q1030 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-17 01:16:28.936003
SPQU,SPQU 170200Z 04005KT CAVOK 12/05 Q1030 RMK PP000=,2025-05-17 02:16:38.176218
SPRU,SPRU 170200Z 14009KT 3000 BR OVC002 18/17 Q1016 RMK PP000=,2025-05-17 02:16:38.176218
SPZO,SPZO 170200Z 07003KT 040V110 9999 NSC 10/02 Q1031 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-17 02:16:38.176218
SPQU,SPQU 170300Z 02004KT 350V050 CAVOK 11/05 Q1030 RMK PP000=,2025-05-17 03:16:47.515747
SPRU,SPRU 170300Z 15009KT 2500 BR OVC002 18/17 Q1016 RMK PP000=,2025-05-17 03:16:47.515747
SPZO,SPZO 170300Z VRB01KT 9999 NSC 09/03 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-17 03:16:47.515747
SPQU,SPQU 170400Z 05006KT CAVOK 11/05 Q1030 RMK PP000=,2025-05-17 04:16:56.940215
SPRU,SPRU 170400Z 15008KT 3000 BR OVC003 18/17 Q1016 RMK PP000=,2025-05-17 04:16:56.940215
SPZO,SPZO 170400Z 10002KT 9999 NSC 08/03 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-17 04:16:56.940215
SPQU,SPQU 170500Z 34004KT CAVOK 11/04 Q1030 RMK PP000=,2025-05-17 05:10:04.445209
SPRU,SPRU 170500Z 16008KT 2500 BR BKN003 18/17 Q1016 RMK PP000=,2025-05-17 05:10:04.445209
SPZO,SPZO 170500Z VRB01KT 9999 NSC 07/03 Q1032 NOSIG RMK PP000=,2025-05-17 05:10:04.445209
SPQU,SPQU 170500Z 34004KT CAVOK 11/04 Q1030 RMK PP000=,2025-05-17 05:45:40.559842
SPRU,SPRU 170500Z 16008KT 2500 BR BKN003 18/17 Q1016 RMK PP000=,2025-05-17 05:45:40.559842
SPZO,SPZO 170500Z VRB01KT 9999 NSC 07/03 Q1032 NOSIG RMK PP000=,2025-05-17 05:45:40.559842
SPZO,SPZO 170530Z 00000KT 9999 NSC 07/03 Q1032 NOSIG=,2025-05-17 05:45:40.559842
SPQU,SPQU 170500Z 34004KT CAVOK 11/04 Q1030 RMK PP000=,2025-05-17 05:48:01.417507
SPRU,SPRU 170500Z 16008KT 2500 BR BKN003 18/17 Q1016 RMK PP000=,2025-05-17 05:48:01.417507
SPZO,SPZO 170500Z VRB01KT 9999 NSC 07/03 Q1032 NOSIG RMK PP000=,2025-05-17 05:48:01.417507
SPZO,SPZO 170530Z 00000KT 9999 NSC 07/03 Q1032 NOSIG=,2025-05-17 05:48:01.417507
SPQU,SPQU 180500Z 01004KT CAVOK 11/M01 Q1029 RMK PP000=,2025-05-18 05:10:44.591143
