station,datetime,wind_dir,wind_speed,visibility,clouds,phenomena,intensity_prefix
SPRU,2025-05-14 06:34:10.925530,120,6,4000.0,,BR,
SPZO,2025-05-14 06:34:11.363489,090,1,9999.0,,,
SPJR,2025-05-14 06:34:12.046428,110,3,9999.0,FEW020,,
SPQU,2025-05-14 06:37:04.275493,010,4,,,,
SPRU,2025-05-14 06:37:04.775842,120,6,4000.0,,BR,
SPZO,2025-05-14 06:37:05.220407,090,1,9999.0,,,
SPJR,2025-05-14 06:37:05.758247,110,3,9999.0,FEW020,,
SPQU,2025-05-14 07:37:13.163447,030,4,,,,
SPRU,2025-05-14 07:37:13.642734,120,4,4000.0,SCT012,BR,
SPZO,2025-05-14 07:37:14.104688,300,2,9999.0,,,
SPJR,2025-05-14 07:37:14.812393,110,3,9999.0,FEW020,,
SPQU,2025-05-14 08:37:22.165255,030,4,,,,
SPRU,2025-05-14 08:37:22.654708,110,4,3000.0,,BR,
SPZO,2025-05-14 08:37:23.090459,100,2,9999.0,,,
SPJR,2025-05-14 08:37:23.608874,110,3,9999.0,FEW020,,
SPQU,2025-05-14 09:37:31.054107,010,5,,,,
SPRU,2025-05-14 09:37:31.534901,120,3,3000.0,,BR,
SPZO,2025-05-14 09:37:31.970151,110,2,9999.0,FEW043,,
SPJR,2025-05-14 09:37:32.523233,110,3,9999.0,FEW020,,
SPQU,2025-05-14 10:37:39.909319,040,4,,,,
SPRU,2025-05-14 10:37:40.395750,140,3,3000.0,,BR,
SPZO,2025-05-14 10:37:40.841120,000,0,9999.0,FEW043;SCT080,,
SPJR,2025-05-14 10:37:41.287864,VRB,2,,,,
SPQU,2025-05-14 11:37:48.792071,360,5,,,,
SPRU,2025-05-14 11:37:49.221885,170,3,1600.0,,BR,
SPZO,2025-05-14 11:37:49.645797,110,3,9999.0,FEW043;SCT080,,
SPJR,2025-05-14 11:37:50.083033,VRB,2,,,,
SPQU,2025-05-14 12:37:57.630112,050,6,,,,
SPRU,2025-05-14 12:37:58.086758,150,3,2000.0,,BR,
SPZO,2025-05-14 12:37:58.572082,VRB,2,9999.0,FEW050,,
SPJR,2025-05-14 12:37:59.017454,VRB,1,,,,
SPQU,2025-05-14 13:38:06.559776,VRB,2,,,,
SPRU,2025-05-14 13:38:07.000230,150,6,4000.0,BKN040,BR,
SPZO,2025-05-14 13:38:07.432481,VRB,2,9999.0,,,
SPJR,2025-05-14 13:38:07.866813,VRB,1,,,,
SPQU,2025-05-14 19:57:12.461868,240,9,,,,
SPRU,2025-05-14 19:57:12.941807,160,10,8000.0,FEW060,,
SPZO,2025-05-14 19:57:13.375936,290,5,9999.0,FEW060,,
SPJR,2025-05-14 19:57:13.850182,150,10,9999.0,SCT020,,
SPQU,2025-05-14 20:57:22.339247,260,9,,,,
SPRU,2025-05-14 20:57:22.831285,160,9,8000.0,,,
SPZO,2025-05-14 20:57:23.293211,VRB,2,9999.0,FEW060,,
SPJR,2025-05-14 20:57:23.734197,070,4,9999.0,SCT020,,
SPQU,2025-05-14 21:57:31.210891,250,7,,,,
SPRU,2025-05-14 21:57:31.692059,160,10,8000.0,,,
SPZO,2025-05-14 21:57:32.136975,040,5,9999.0,FEW060,,
SPJR,2025-05-14 21:57:32.569116,170,8,9999.0,SCT020,,
SPQU,2025-05-14 22:57:39.996415,280,6,,,,
SPRU,2025-05-14 22:57:40.502541,160,9,7000.0,,,
SPZO,2025-05-14 22:57:40.925170,070,4,9999.0,,,
SPJR,2025-05-14 22:57:41.431160,120,6,9999.0,FEW020,,
SPQU,2025-05-14 23:57:49.035236,270,6,,,,
SPRU,2025-05-14 23:57:49.551180,150,9,6000.0,FEW150,,
SPZO,2025-05-14 23:57:49.994779,060,5,9999.0,,,
SPJR,2025-05-14 23:57:50.496434,130,7,9999.0,FEW020,,
SPQU,2025-05-15 00:57:57.909566,000,0,,,,
SPRU,2025-05-15 00:57:58.413233,140,7,4000.0,FEW150,BR,
SPZO,2025-05-15 00:57:58.893539,090,3,9999.0,,,
SPJR,2025-05-15 00:57:59.568376,130,7,9999.0,FEW020,,
SPQU,2025-05-15 01:58:06.965560,090,4,,,,
SPRU,2025-05-15 01:58:07.451727,140,7,4300.0,,BR,
SPZO,2025-05-15 01:58:07.897054,VRB,1,9999.0,,,
SPJR,2025-05-15 01:58:08.526133,130,7,9999.0,FEW020,,
SPQU,2025-05-15 02:01:01.634541,090,4,,,,
SPRU,2025-05-15 02:01:02.133480,140,7,4300.0,,BR,
SPZO,2025-05-15 02:01:02.633493,VRB,1,9999.0,,,
SPJR,2025-05-15 02:01:03.232420,130,7,9999.0,FEW020,,
SPQU,2025-05-15 03:01:11.190999,090,5,,,,
SPRU,2025-05-15 03:01:11.806457,160,7,4100.0,,BR,
SPZO,2025-05-15 03:01:12.251723,290,5,9999.0,,,
SPJR,2025-05-15 03:01:12.842158,130,7,9999.0,FEW020,,
SPQU,2025-05-15 04:01:21.250497,010,3,,,,
SPRU,2025-05-15 04:01:21.833854,150,5,3800.0,,BR,
SPZO,2025-05-15 04:01:22.267074,280,2,9999.0,,,
SPJR,2025-05-15 04:01:22.784349,130,7,9999.0,FEW020,,
SPQU,2025-05-15 05:01:31.176116,360,3,,,,
SPRU,2025-05-15 05:01:31.668355,140,6,4000.0,,BR,
SPZO,2025-05-15 05:01:32.102554,280,2,9999.0,,,
SPJR,2025-05-15 05:01:32.731116,130,7,9999.0,FEW020,,
SPQU,2025-05-15 06:01:40.397392,VRB,2,,,,
SPRU,2025-05-15 06:01:40.886300,150,7,4100.0,,BR,
SPZO,2025-05-15 06:01:41.388278,000,0,9999.0,,,
SPJR,2025-05-15 06:01:41.905847,130,7,9999.0,FEW020,,
SPQU,2025-05-15 07:01:49.328340,VRB,2,,,,
SPRU,2025-05-15 07:01:49.770336,150,6,3500.0,,BR,
SPZO,2025-05-15 07:01:50.250095,VRB,2,9999.0,,,
SPJR,2025-05-15 07:01:50.964007,130,7,9999.0,FEW020,,
SPQU,2025-05-15 08:01:58.830606,290,2,,,,
SPRU,2025-05-15 08:01:59.724494,140,5,3500.0,,BR,
SPZO,2025-05-15 08:02:00.242127,100,1,9999.0,,,
SPJR,2025-05-15 08:02:01.904701,130,7,9999.0,FEW020,,
SPQU,2025-05-15 09:02:11.964831,340,4,,,,
SPRU,2025-05-15 09:02:12.470760,140,5,3100.0,,BR,
SPZO,2025-05-15 09:02:13.433575,100,1,9999.0,,,
SPJR,2025-05-15 09:02:17.863981,130,7,9999.0,FEW020,,
SPQU,2025-05-15 10:02:26.642299,360,4,,,,
SPRU,2025-05-15 10:02:27.076243,160,4,1800.0,,BR,
SPZO,2025-05-15 10:02:27.575889,000,0,9999.0,,,
SPJR,2025-05-15 10:02:28.150591,VRB,1,,,,
SPQU,2025-05-15 11:02:35.771935,350,6,,,,
SPRU,2025-05-15 11:02:37.788810,120,2,1600.0,SCT002,BR,
SPZO,2025-05-15 11:02:39.083767,070,3,9999.0,,,
SPJR,2025-05-15 11:02:39.558700,360,2,,,,
SPQU,2025-05-15 12:02:47.279515,350,6,,,,
SPRU,2025-05-15 12:02:47.974636,120,2,1600.0,SCT002,BR,
SPZO,2025-05-15 12:02:48.485190,100,2,9999.0,SCT040,,
SPJR,2025-05-15 12:02:49.102431,360,2,,,,
SPQU,2025-05-15 13:02:56.651660,010,3,,,,
SPRU,2025-05-15 13:02:57.145451,160,4,3000.0,,BR,
SPZO,2025-05-15 13:02:57.668604,VRB,2,9999.0,FEW025;BKN040;OVC070,,
SPJR,2025-05-15 13:02:58.116406,000,0,,,,
SPQU,2025-05-15 14:03:05.783465,230,5,,,,
SPRU,2025-05-15 14:03:06.413849,160,4,3000.0,,BR,
SPZO,2025-05-15 14:03:06.961479,VRB,2,9999.0,FEW030;BKN040;OVC070,,
