station,raw_metar,datetime_scraped,observed,temperature,dewpoint,wind_speed,wind_direction,visibility,altimeter,flight_rules
SPZO,SPZO 120300Z 27004KT 9999 NSC 09/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-12 03:10:30.994395,2025-05-12T03:00:00Z,9,3,4,270,9999,1036,VFR
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000,2025-05-12 03:20:31.892001,2025-05-12T03:00:00Z,17,0,5,30,9999,1029,VFR
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 03:20:32.372908,2025-05-12T03:00:00Z,18,15,8,150,9999,1014,VFR
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000,2025-05-12 03:20:32.860941,2025-05-12T03:00:00Z,17,16,5,140,6000,1013,MVFR
SPZO,SPZO 120300Z 27004KT 9999 NSC 09/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000,2025-05-12 03:20:33.288253,2025-05-12T03:00:00Z,9,3,4,270,9999,1036,VFR
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000,2025-05-12 03:30:34.219876,2025-05-12T03:00:00Z,17,0,5,30,9999,1029,VFR
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 03:30:34.647579,2025-05-12T03:00:00Z,18,15,8,150,9999,1014,VFR
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000,2025-05-12 03:30:35.068381,2025-05-12T03:00:00Z,17,16,5,140,6000,1013,MVFR
SPZO,SPZO 120330Z 28005KT 9999 NSC 08/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 03:30:35.677056,2025-05-12T03:30:00Z,8,3,5,280,9999,1036,VFR
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000,2025-05-12 03:40:36.573481,2025-05-12T03:00:00Z,17,0,5,30,9999,1029,VFR
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 03:40:37.036637,2025-05-12T03:00:00Z,18,15,8,150,9999,1014,VFR
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000,2025-05-12 03:40:37.466586,2025-05-12T03:00:00Z,17,16,5,140,6000,1013,MVFR
SPZO,SPZO 120330Z 28005KT 9999 NSC 08/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 03:40:37.888523,2025-05-12T03:30:00Z,8,3,5,280,9999,1036,VFR
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000,2025-05-12 03:50:38.822461,2025-05-12T03:00:00Z,17,0,5,30,9999,1029,VFR
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 03:50:39.287158,2025-05-12T03:00:00Z,18,15,8,150,9999,1014,VFR
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000,2025-05-12 03:50:39.707372,2025-05-12T03:00:00Z,17,16,5,140,6000,1013,MVFR
SPZO,SPZO 120330Z 28005KT 9999 NSC 08/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 03:50:40.188286,2025-05-12T03:30:00Z,8,3,5,280,9999,1036,VFR
SPQU,SPQU 120300Z 03005KT 020V090 9999 SCT120 17/M00 Q1029 RMK PP000,2025-05-12 04:00:41.136405,2025-05-12T03:00:00Z,17,0,5,30,9999,1029,VFR
SPJC,SPJC 120300Z 15008KT 9999 SCT010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 04:00:41.596428,2025-05-12T03:00:00Z,18,15,8,150,9999,1014,VFR
SPRU,SPRU 120300Z 14005KT 6000 NSC 17/16 Q1013 RMK PP000,2025-05-12 04:00:42.100618,2025-05-12T03:00:00Z,17,16,5,140,6000,1013,MVFR
SPZO,SPZO 120330Z 28005KT 9999 NSC 08/03 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28,2025-05-12 04:00:42.574237,2025-05-12T03:30:00Z,8,3,5,280,9999,1036,VFR
SPQU,SPQU 120400Z 35002KT 9999 FEW120 14/M01 Q1029 RMK PP000,2025-05-12 04:10:43.498805,2025-05-12T04:00:00Z,14,-1,2,350.0,9999,1029,VFR
SPJC,SPJC 120400Z 17006KT 8000 FEW010 18/15 Q1014 NOSIG RMK PP000,2025-05-12 04:10:44.034033,2025-05-12T04:00:00Z,18,15,6,170.0,8000,1014,MVFR
