station,datetime,wind_dir,wind_speed,visibility,clouds,phenomena,intensity_prefix
SPQU,2025-05-12 11:23:45.631581,060,10,9999.0,FEW110,,
SPJC,2025-05-12 11:23:45.631581,240,4,9999.0,OVC012;BKN007,,
SPRU,2025-05-12 11:23:45.631581,120,6,5000.0,,BR,
SPZO,2025-05-12 11:23:45.631581,VRB,2,9999.0,SCT050;BKN100,,
SPQU,2025-05-12 11:53:46.524808,060,10,9999.0,FEW110,,
SPJC,2025-05-12 11:53:46.524808,240,4,9999.0,OVC012;BKN007,,
SPRU,2025-05-12 11:53:46.524808,120,6,5000.0,,BR,
SPZO,2025-05-12 11:53:46.524808,VRB,2,9999.0,SCT050;BKN100,,
SPZO,2025-05-12 11:53:46.524808,090,2,9999.0,SCT050;BKN100,,
SPQU,2025-05-14 03:20:44.126211,020,3,,,,
SPJC,2025-05-14 03:20:44.126211,170,9,8000.0,BKN008,,
SPRU,2025-05-14 03:20:44.126211,150,4,3000.0,,BR,
SPZO,2025-05-14 03:20:44.126211,000,0,9999.0,,,
SPQU,2025-05-14 03:50:45.015404,020,3,,,,
SPJC,2025-05-14 03:50:45.015404,170,9,8000.0,BKN008,,
SPRU,2025-05-14 03:50:45.015404,150,4,3000.0,,BR,
SPZO,2025-05-14 03:50:45.015404,000,0,9999.0,,,
SPZO,2025-05-14 03:50:45.015404,VRB,2,9999.0,FEW080,,
SPQU,2025-05-14 04:20:45.895632,VRB,2,,,,
SPJC,2025-05-14 04:20:45.895632,160,11,8000.0,OVC008,,
SPRU,2025-05-14 04:20:45.895632,150,4,5000.0,,BR,
SPZO,2025-05-14 04:20:45.895632,VRB,1,9999.0,FEW080,,
SPQU,2025-05-14 04:50:46.842856,VRB,2,,,,
SPJC,2025-05-14 04:50:46.842856,160,11,8000.0,OVC008,,
SPRU,2025-05-14 04:50:46.842856,150,4,5000.0,,BR,
SPZO,2025-05-14 04:50:46.842856,VRB,1,9999.0,FEW080,,
SPZO,2025-05-14 04:50:46.842856,090,2,9999.0,FEW080,,
SPQU,2025-05-14 05:56:59.181051,040,4,,,,
SPRU,2025-05-14 05:56:59.181051,140,3,5000.0,,BR,
SPZO,2025-05-14 05:56:59.181051,070,3,9999.0,FEW080,,
SPZO,2025-05-14 05:56:59.181051,060,2,9999.0,FEW080,,
SPQU,2025-05-14 05:58:09.898862,040,4,,,,
SPRU,2025-05-14 05:58:09.898862,140,3,5000.0,,BR,
SPZO,2025-05-14 05:58:09.898862,070,3,9999.0,FEW080,,
SPZO,2025-05-14 05:58:09.898862,060,2,9999.0,FEW080,,
SPQU,2025-05-14 06:28:10.796249,010,4,,,,
SPRU,2025-05-14 06:28:10.796249,120,6,4000.0,,BR,
SPZO,2025-05-14 06:28:10.796249,090,1,9999.0,,,
SPQU,2025-05-14 06:34:13.350574,010,4,,,,
SPRU,2025-05-14 06:34:13.350574,120,6,4000.0,,BR,
SPZO,2025-05-14 06:34:13.350574,090,1,9999.0,,,
SPQU,2025-05-14 06:37:07.092737,010,4,,,,
SPRU,2025-05-14 06:37:07.092737,120,6,4000.0,,BR,
SPZO,2025-05-14 06:37:07.092737,090,1,9999.0,,,
SPQU,2025-05-14 07:37:16.110813,030,4,,,,
SPRU,2025-05-14 07:37:16.110813,120,4,4000.0,SCT012,BR,
SPZO,2025-05-14 07:37:16.110813,300,2,9999.0,,,
SPQU,2025-05-14 08:37:24.987988,030,4,,,,
SPRU,2025-05-14 08:37:24.987988,110,4,3000.0,,BR,
SPZO,2025-05-14 08:37:24.987988,100,2,9999.0,,,
SPQU,2025-05-14 09:37:33.844507,010,5,,,,
SPRU,2025-05-14 09:37:33.844507,120,3,3000.0,,BR,
SPZO,2025-05-14 09:37:33.844507,110,2,9999.0,FEW043,,
SPQU,2025-05-14 10:37:42.666133,040,4,,,,
SPRU,2025-05-14 10:37:42.666133,140,3,3000.0,,BR,
SPZO,2025-05-14 10:37:42.666133,VRB,1,9999.0,FEW043,,
SPZO,2025-05-14 10:37:42.666133,000,0,9999.0,FEW043;SCT080,,
SPQU,2025-05-14 11:37:51.462653,360,5,,,,
